QUEST_20150317_000001	Por favor selecciona al usuario que necesita una actualización de misión.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM	
QUEST_20151001_002552	Si te pregunta sobre el tiempo, dile que hará sol. {nl}Está bien, entonces contaré contigo mientras espero.	만일 그가 날씨에 대해서 묻거든 맑을 것이라고 답하시오.{nl}그럼 당신만 믿고 기다리겠소.				몽크 마스터	
QUEST_20151001_002553	Si te pregunta sobre el tiempo, dile que lloverá. {nl}Está bien, entonces te estaré esperando.	만일 그가 날씨에 대해서 묻거든 흐릴 것이라고 답하시오.{nl}그럼 당신만 믿고 기다리겠소.				몽크 마스터	
QUEST_20151001_002554	Si te pregunta sobre el tiempo, dile que lloverá. {nl}Está bien, entonces te estaré esperando.	만일 그가 날씨에 대해서 묻거든 비가 올 것이라고 답하시오.{nl}그럼 당신만 믿고 기다리겠소.				몽크 마스터	
QUEST_20151001_002555	Soy un comerciante que vende productos en Fedimian.{nl}¿Necesitas algo de mí?	저는 페디미안에 물건을 팔러다니는 행상을 하고 있습니다.{nl}저에게 뭔가 볼일이 있으신가요?				행상인	
QUEST_20151001_002556	Sí, tenemos un largo camino por recorrer así que espero que no llueva.{nl}El tiempo no empeorará hoy, ¿verdad?	네, 그런데 갈길이 먼데 행여 비라도 오는 게 아닌지 걱정입니다.{nl}오늘 중으로 날씨가 나빠지거나 하지는 않겠지요?				행상인	
QUEST_20151001_002557	Así que eres el enviado por Maestro Monje.{nl}Hemos recibido bien los productos.{nl}Por favor, envía mi agradecimiento al Maestro Monje.	몽크 마스터가 보내신 분이군요.{nl}물건은 잘 받겠습니다.{nl}몽크 마스터께는 감사하다고 전해주세요.				행상인	
QUEST_20151001_002558	¿Es así? Entonces debo darme prisa.	그렇습니까.. 어찌 되었든 서둘러야겠습니다.				행상인	
QUEST_20151001_002559	Desafortunadamente, no tenemos ningún producto para vender en este momento.	안타깝지만 지금은 팔 물건을 들고 있지 않습니다.				행상인	
QUEST_20151001_002560	Tenga cuidado en el camino de regreso.	당신도 조심해서 돌아가세요.				행상인	
QUEST_20151001_002561	Nunca perdonaré a los monstruos que mataron a mi familia. {nl}Aunque mi cuerpo regresa al suelo, mi alma todavía arde de ira. {nl}Oh, diosa. Sólo la sangre fría de los monstruos puede calmar mi ira.	내 가족들을 앗아간 몬스터들을 도저히 용서할 수가 없다. {nl}비록 육신은 대지로 돌아가련만 나의 영혼만은 꺼지지 않은 분노로 불타오를 것이다. {nl}아아, 여신이시여. 차가운 몬스터의 체액만이 저의 분노를 식힐 수 있겠습니까.	QUEST_20150428_001926	I'll never forgive the monsters that killed my family. {nl}Though my body returns to the ground, my soul still burns with anger. {nl}Oh, goddess. Only the cold blood of the monsters can cool my rage.	나의 가족들을 앗아간 몬스터들을 도저히 용서할 수가 없다. {nl}비록 육신은 대지로 돌아가련만 나의 영혼만은 꺼지지 않은 분노로 불타오를 것이다. {nl}아아, 여신이시여. 차가운 몬스터의 체액만이 저의 분노를 식힐 수 있겠습니까.	분노로 휘갈긴 일지	
QUEST_20151001_002562	El rey Kadumel finalmente muere.	카듀멜 국왕이 마침내 눈을 감으리라.	QUEST_20150714_002149	King Kadumel finally dies.	카듀멜 국왕이 마침내 죽으리라.	얼룩이 남은 비석	
QUEST_20151001_002563	El equilibrio de poder entre los demonios y las diosas, aunque frágil, se ha mantenido estable durante mucho tiempo.{nl}Siempre y cuando no crucen los territorios de cada uno.{nl}	마족과 여신 사이의 미묘한 힘의 견제는 아주 오래 전 부터 있던 일이에요.{nl}서로의 영역을 침범하지 않는 선에서요.{nl}				큐폴 메일레	
QUEST_20151001_002564	Pero los demonios se abrieron paso primero. {nl} Con la Escarcha Petrificante... incluso los espíritus se convirtieron en piedras.	하지만 먼저 깬 건 마족이였어요.{nl}그것이 이 석화서리.. 죽음을 넘어서 영혼까지 돌이 되어 버렸지요.				큐폴 메일레	
QUEST_20151001_002565	Cuando los demonios comenzaron a lanzar su maldición de petrificación en esta región, las diosas intentaron salvar a los humanos. {nl} Sin embargo, los demonios advirtieron a las diosas que hacerlo violaría las reglas que acordaron mutuamente...	마족은 이 일대에 석화의 저주를 내렸고 여신들은 인간을 구원하려고 헀죠.{nl}하지만 마족은 서로의 일에 관여하지 않겠다는 규칙을 잊었냐며 그 곳에..{nl}	QUEST_UNUSED_20150729_000300	After the demons cast the petrification curse on this land... the goddesses did try to save us.{nl}But the demons were furious about them interfering with their work and left for another region...	마족은 이 일대에 석화 저주를 내렸고.. 여신들은 인간들을 구원하려고 했죠.{nl}하지만 서로의 일에 관여하지 않겠다는 암묵적인 룰을 잊었느냐며 마족들은 분개했고 다른 지역에...	큐폴 메일레	
QUEST_20151001_002566	Disculpe un momento. Es un recuerdo horrible...{nl}Trajeron la catástrofe. {nl}Una fuerte catástrofe que hizo que las diosas renunciaran a rescatar este lugar.	잠시만요. 너무 끔찍한 기억이라서요..{nl}재앙을 내렸어요. 여신들이 석화된 이 곳의 구원을 포기해야 할 만큼 엄청난 재앙을요..	QUEST_UNUSED_20150729_000301	{nl}The disaster they caused was unimaginable...{nl}It was so bad it forced the goddesses to give up on saving this petrified land...	{nl}아, 생각하기도 싫은 재앙을 내렸어요..{nl}여신들이 석화된 이 곳의 구원을 포기해야 할 만큼 엄청난 재앙이었죠..	큐폴 메일레	
QUEST_20151001_002567	Las diosas ya dejaron de rescatar una vez porque no pudieron hacer nada en Medzio Diena.{nl}Pero no podemos simplemente rendirnos.	이미 한 번 구원을 포기했고, 신수의 날엔 아무것도 할 수 없었지요.{nl}하지만 그렇다고 해서 전부 포기할 순 없어요.	QUEST_UNUSED_20150729_000311	After all the detectors are back to normal I want to guide the spirits to their rest place.	석화 탐지기가 전부 정상으로 돌아오면 차분하게 영혼들을 안식으로 인도할 생각이예요.	큐폴 메일레	
QUEST_20151001_002568	Savior.{nl}Como puedes ver, no puedo hacer nada por mí mismo en este momento.{nl}Como habrás oído, después de Medzio Diena mis poderes se han debilitado...{nl}	구원자여.{nl}보시다시피 지금의 저는 혼자의 힘으론 아무것도 할 수 없는 처지입니다.{nl}그대들이 말하는 신수의 날 이후로 미약한 힘 만이 남아있을 뿐..{nl}				여신 바카리네	
QUEST_20151001_002569	En esta prisión, un nuevo desastre está a punto de ocurrir. {nl} Los demonios siguen viniendo de la grieta dimensional, {nl}, y están tratando de tomar esta prisión como su nuevo campamento. {nl}	이 수감소에서는는 새로운 재앙이 움트고 있습니다.{nl}마족들은 계속해서 전이의 틈새로 넘어와 이 수감소를 새로운 거점으로 만드려 하고 있지요.{nl}				여신 바카리네	
QUEST_20151001_002570	No me queda poder para cerrar la grieta dimensional.{nl}Pero creo que todavía hay una manera.{nl}	저에겐 전이의 틈새를 닫을 힘 조차 남아있지 않습니다만.{nl}그렇다고 해서 아주 방법이 없는 건 아닙니다.{nl}				여신 바카리네	
QUEST_20151001_002571	Tu ayuda es la única manera de cambiar esta situación.{nl}Dado que no tengo poder, por favor préstame tu poder para cerrar la grieta dimensional.	바로 그대의 도움이 이 상황을 뒤집을 수 있는 유일한 돌파구이지요.{nl}부디 무력한 절 대신하여 전이의 틈새를 닫을 힘을 빌려주십시오.				여신 바카리네	
QUEST_20151001_002572	Imperdonable.	용서할 수 없다.	QUEST_LV_0300_20150729_000143	I just want to rest...	그저 쉬고 싶을 뿐..	마족 쉬트리가일라	
QUEST_20151001_002573	Además, se requiere el corazón de un Stoulet después de ofrecer las flores.{nl}¿Quieres dedicar un Corazón de Stoulet a cambio de mi bendición?	헌화 한 이후에는 스타울리트 심장이 추가로 필요합니다.{nl}스타울리트 심장을 바치고 축복을 받으시겠습니까?				축복의 성소	
QUEST_20151001_002574	(Un polvo negro dudoso cubre el pilar. ¿Intentas rasparlo?)	이 기둥에 덕지덕지 붙은 검은색 가루가 신경쓰인다. 긁어내 볼까?				PC	
QUEST_20151001_002575	(Es ilegible).	읽히지 않는다.				비석	
QUEST_20151001_002576	(Puedes ver el número 1 en el pilar).	기둥에서 1이라는 숫자가 보인다.				PC	
QUEST_20151001_002577	(Puedes ver el número 2 en el pilar).	기둥에서 2라는 숫자가 보인다.				PC	
QUEST_20151001_002578	(Puedes ver el número 3 en el pilar).	기둥에서 3이라는 숫자가 보인다.				PC	
QUEST_20151001_002579	(Hay algo vagamente escrito en el pilar. ¿Es esto un símbolo?)	희미하게 뭔가 적혀 있다. 문양 .. 조각..?				PC	
QUEST_20151001_002580	¿Martillo? ¿Lo necesitas para hacer un santuario?	망치? 성소를 만드는 데 필요하다고?				대장장이	
QUEST_20151001_002581	{nl}I no puedo darte lo que estaba usando, así que toma esto si quieres. Desaparecerá una vez que lo uses.	{nl}내가 쓰는 걸 줘 버릴 수는 없고, 일단 이 낡은 거라도 가져가던가. 한번 쓰면 없어질거요.				대장장이	
QUEST_20151001_002582	Hammer, ya te lo he dado. ¿Por qué lo vuelves a pedir?	망치, 이미 줬는데 뭘 또 달래?				대장장이	
QUEST_20151001_002583	Reparando el Santuario...	성소 수리라..				장비상인	
QUEST_20151001_002584	En circunstancias habituales, lo vendería, pero esta vez te lo daré gratis. {nl}Pero solo se puede usar una vez.	평소 같으면야 돈 받고 팔겠지만, 이번만은 그냥 드리지요. 대신 1회용이라오.				장비상인	
QUEST_20151001_002585	Eres demasiado codicioso. Uno será suficiente.	욕심도 많으시지. 한개면 충분할거요.				장비상인	
QUEST_20151001_002586	Tablón de anuncios de Kedorlaomer	케도라오머 상단 알림판					
QUEST_20151001_002587	Esta región es el sitio de excavación de los comerciantes de Kedorlaomer. {nl}Todos los peregrinos deben tener cuidado.	이 근처는 케도라오머 상단의 성물 발굴지 입니다.{nl}순례자 여러분들의 주의를 부탁드립니다.				케도라오머 상단 알림판	
QUEST_20151001_002588	Recibí los beneficios de los comerciantes de Kedorlaomer.{nl}Las energías se están acumulando.	케도라오머의 상단.. 이라는 혜택을 받았다.{nl}어쩐지 기운이 솟는다.				PC	
QUEST_20151001_002589	Hay un objeto sagrado cerca del lado superior derecho.	우상단 가까운 곳에 성물이 있다고 한다.				PC	
QUEST_20151001_002590	Hay un objeto sagrado cerca de la parte superior.	위쪽 가까운 곳에 성물이 있다고 한다.				PC	
QUEST_20151001_002591	Hay un objeto sagrado cerca del lado superior izquierdo.	좌상단 가까운 곳에 성물이 있다고 한다.				PC	
QUEST_20151001_002592	¿Está debajo?	아래쪽인가?				PC	
QUEST_20151001_002593	Hay un objeto sagrado tirado más lejos del lado superior derecho.	우상단 조금 먼 곳에 성물이 있다고 한다.				PC	
QUEST_20151001_002594	Hay un objeto sagrado un poco más lejos del lado superior izquierdo.	위쪽 조금 먼 곳에 성물이 있다고 한다.				PC	
QUEST_20151001_002595	Hay un objeto sagrado un poco más lejos del lado superior izquierdo.	좌상단 조금 먼 곳에 성물이 있다고 한다.				PC	
QUEST_20151001_002596	Hay un objeto sagrado lejos del lado superior derecho.	우상단 먼 곳에 성물이 있다고 한다.				PC	
QUEST_20151001_002597	Hay un objeto sagrado lejos de la parte superior.	위쪽 먼 곳에 성물이 있다고 한다.				PC	
QUEST_20151001_002598	Dicen que hay un objeto sagrado lejos del lado superior izquierdo.	좌상단 먼 곳에 성물이 있다고 한다.				PC	
QUEST_20151001_002599	Jaja, gracias.	하아, 고맙습니다.				알비나스	
QUEST_20151001_002600	El Monocle detectó una fuerza especial. Es la caja del frente.	모노클이 특별한 힘을 탐색했어. 저 앞에 있는 상자야.	QUEST_20150803_002397	Monocle detected the special power. It's that way.	모노클이 특별한 힘을 탐색했어. 저쪽이야.	도굴꾼 아만다	
QUEST_20151001_002601	Entonces estás diciendo que no había ninguna fuerza especial ni demonios en el lugar donde te dije, y que solo estaba allí un anciano que administra la Fortaleza de la Tierra, ¿verdad? ¿Le contaste algo sobre mí?	내가 알려준 장소엔 특별한 힘이나 마족은 없었지만 대지의 요새를 관리하는 노인이 있었다 이거지? 내 이야긴 했어?	QUEST_20150803_002398	There is a manager that manages the Fortress of the Land and you need a verification ticket in order to go to the next region.	대지의 요새를 관리하는 관리인이 있고, 다음 구역으로 가려면 인증표가 필요하단 말이지.	도굴꾼 아만다	
QUEST_20151001_002602	¿Entonces no le dijiste nada sobre mí? ¡Eso es bueno!	내 이야기는 안했다 이거지? 잘했어!	QUEST_20150803_002399	Leave me a note so I can also make a verification ticket.	나도 인증표를 만들 수 있도록 쪽지를 남겨줘.	도굴꾼 아만다	
QUEST_20151001_002603	Necesita un certificado para poder pasar a la siguiente región.	다음 구역으로 가려면 인증표가 필요하단 말이지.				도굴꾼 아만다	
QUEST_20151001_002604	¡Esperar! ¿Puedes oír algo?	잠깐! 무슨 소리 안들려?				도굴꾼 아만다	
QUEST_20151001_002605	Deja de pensar que este es un mal método. Es el mejor método que se me ocurre para ayudarte en este momento.	꺼림칙한 방법이라 생각하지 말게. 현재 내가 자네를 도울 수 있는 최선의 방법이네.				늙은 관리인	
QUEST_20151001_002606	Espíritu de miembro del escuadrón de Ruklys	루클리스 부대원 영혼					
QUEST_20151001_002607	Primer Ministro Eminente	여신의 곁으로 가고 싶어.				루클리스 부대원 영혼	
QUEST_20151001_002608	Primer Ministro Eminente	프리미어 에미넌트					
QUEST_20151001_002609	La revelación de las diosas que buscábamos está cerca.	그렇게 찾아 헤맸던 여신의 계시가 얼마 남지 않았군.				프리미어 에미넌트	
QUEST_20151001_002610	¡Así que activaste el círculo mágico otra vez!	네 녀석이 다시 마법진을 활성화 시켰구나!				프리미어 에미넌트	
QUEST_20151001_002611	¡Incluso si muero, te impediré obtener la revelación!	내가 죽더라도 네 녀석이 계시를 얻는건 막을 것이다!				프리미어 에미넌트	
QUEST_20151001_002612	¡Mi leal subordinado, Mandara! ¡Mata a ese arrogante Revelador!	나의 충직한 수하 만다라여! 저 건방진 계시자를 죽여라!				프리미어 에미넌트	
QUEST_20151001_002613	Es una suerte poder verte de nuevo.	다시 널 볼 수 있어서 다행이야.				도굴꾼 아만다	
QUEST_20151001_002614	¿Recuerdas cuando te pedí que comprobaras si Monocle detectaba algún poder fuerte? {nl}Me has dicho que allí solo hay un antiguo administrador. {nl}Las cosas que pensábamos que estaban ocultas bajo la fuerza especial eran en realidad demonios. {nl}Y aún más absurdo, el objeto sobre el que sentimos el gran poder era en realidad el gerente.	내가 모노클에 강한 힘이 탐지된다면서 확인해달라고 했을 때 기억나?{nl}확인하고 돌와온 넌 내게 늙은 관리인만 있다고 말했어. 특별한 힘에 감춰진 물건이라 생각했던 것이 막상 마족 몬스터들이였지. 그리고 말도 안될 정도로 강하게 느껴졌던 물건이라 생각했던게 확인하고 보니깐 늙은 관리인이였어.				도굴꾼 아만다	
QUEST_20151001_002615	Después de separarme de ti, he estado buscando a Monocle... {nl}Solo había demonios en el lugar donde se detectó la fuerza especial.{nl}Así que pensé que tal vez Monocle solo puede ser visto por los demonios...	너와 헤어진 이 후에도 난 모노클로 계속 탐색을 했는데.. 특별한 힘이 감지된 곳엔 마족 몬스터밖에 없었지.{nl} 그래서 난 이런 생각을 했어. 어쩌면 모노클은 마족을 볼 수 있는 물건이 아닐까...				도굴꾼 아만다	
QUEST_20151001_002616	Iré al lado izquierdo. Vas al lado derecho y buscas las piezas.	난 왼편으로 가겠네. 자네는 오른편으로 가서 부품을 찾게.				프리미어 에미넌트	
QUEST_20151001_002617	Casi fuimos asesinados por los demonios.	하마터면 마족에게 휘둘리다가 죽을 뻔했어.				도굴꾼 아만다	
QUEST_20151001_002618	(Este guardia perdió el conocimiento. Recojamos la bomba).	경비병이 의식을 잃었다. 어서 폭탄을 챙기자.				왕국군 경비병	
QUEST_20151001_002619	Hemos logrado distraer a los guardias. {nl} ¡Vamos al fondo!	왕국군 경비병들의 눈을 돌리는데 성공한거 같아.{nl}어서 더 안쪽 구역으로 가자!				도굴꾼 아만다	
QUEST_20151001_002620	No quiero encontrarme contigo como enemigo la próxima vez. {nl}Volvamos a donde está Delus.	다음부터는 적으로 만나지 않았으면 좋겠습니다.{nl}일단 델루스님이 계신 곳으로 돌아가지요.				왕국군 경비병	
QUEST_20151001_002621	Eres un intruso, pero supongo que no tenemos otra opción. {nl}Iré al lugar donde están mis compañeros.	침입자이지만, 어쩔 수 없군요.{nl}일단 동료들이 있는 곳으로 가겠습니다.				왕국군 경비병	
QUEST_20151001_002622	Maldita sea... Pensar que tengo que pedirle ayuda a un intruso... {nl}De todos modos, regresaré.	난감하군. 침입자에게 도움이라니..{nl}어쨌든 돌아가겠어.				왕국군 경비병	
QUEST_20151001_002623	No podemos simplemente dejar de lado su intrusión en la Fortaleza de la Tierra. {nl}Por supuesto, no podemos olvidarnos de su ayuda.	당신이 대지의 요새에 침입한 건 그냥 넘어갈 수 없는 일입니다. {nl}그렇다고 우릴 도와준 것도 그냥 넘어갈 순 없는 일이죠.				왕국군 경비병 델루스	
QUEST_20151001_002624	Agradecemos su ayuda, pero no podemos simplemente ignorar la orden real.	저희를 도와드린 것은 감사드리지만 왕명을 거스를 순 없습니다.				왕국군 경비병 델루스	
QUEST_20151001_002625	Por favor, sal de la Fortaleza de la Tierra.	대지의 요새를 나가주십시오.				왕국군 경비병 델루스	
QUEST_20151001_002626	El espíritu militar de Ruklys	루클리스 부대 영혼					
QUEST_20151001_002627	Llévalo con la diosa.	이제 여신의 곁으로 보내주세요.				루클리스 부대 영혼	
QUEST_20151001_002628	(La resistencia se ha debilitado. Debería usar la ficha de restricción).	저항이 약해졌다. 속박의 증표를 사용하자.				루클리스 부대 병사의 영혼	
QUEST_20151001_002629	El primer ministro eminente está dando algunas órdenes a los demonios.	프리미어 에미넌트가 마족들에게 뭔가 지시하는 것 같다.				도굴꾼 아만다	
QUEST_20151001_002630	Estacionaré a uno de nuestros guardias aquí en caso de que planees huir.	혹시라도 당신이 도망칠 것에 대비해 경비병 한 명을 붙이겠습니다.				왕국군 경비병 델루스	
QUEST_20151001_002631	Más allá del Camino de Peregrinos se encuentra la Gran Catedral, que fue construida por Maven. {nl}Ruklys, Lydia Schaffen y Agailla Flurry fueron todos sus discípulos.{nl}	순례자의 길 너머엔 현자 메이번이 지었다던 대성당이 있습니다.{nl}그 유명한 루클리스라던가 리디아 샤펜, 아가일라 플러리가 그의 제자들이지요.{nl}	QUEST_LV_0100_20150317_002274	The Great Cathedral, built by Maven, is beyond the Pilgrim's Way.{nl}Ruklys, Lydia Schaffen, and Agailla Flurry are all his disciples.	순례자길 너머엔 현자 메이번이 지었다던 대성당이 있습니다.{nl}그 유명한 루클리스라던가 리디아 샤펜, 아가일라 플러리가 그의 제자들이지요.{nl}	경비병	
QUEST_20151001_002632	Entre ellos, el Maestro Paladín fue un héroe que salvó muchas vidas en la capital. {nl}Actualmente, ha ido a Srautas Gorge para luchar contra un gran mal...	그 중 팔라딘 마스터는 수도에서 많은 이들을 구한 영웅입니다.{nl}현재 그는 거대한 악에 맞서기 위해 스라우타스 협곡으로..	QUEST_20150414_001876	Among them, the Paladin Master was a hero who saved many lives in the capital. {nl}Currently, he has gone to Silverstream Gorge to fight a great evil.	그 중 팔라딘 마스터는 수도에서 많은 이들을 구한 영웅입니다.{nl}현재 그는 거대한 악에 맞서기 위해 스라우타스 협곡으로.. 	영웅전	
QUEST_20151001_002633	Mucha gente hizo apuestas con Modestas para descubrir quién es la estatua de la diosa, pero Modesta nunca perdió antes de morir.	많은 이들이 여신상이 누구인지 알기 위해 모데스타스에게 내기를 걸었지만 모데스타스가 눈을 감을 때 까지 지는 일은 결코 없었었습니다.	QUEST_20150729_002300	Many tried to reveal the identity of the Statue by challenging Modestas to bets, but he passed away before losing even once.	많은 이들이 여신상이 누구인지 알기 위해 모데스타스에게 내기를 걸었지만 모데스타스가 죽을 때 까지 지는 일은 결코 없었었습니다.	클라페다의 여신상	
QUEST_20151001_002634	Al final de mi vida espero ver a Fedimian completamente restaurado. {nl} Si hay algo que puedo hacer, puedo hacer 1000 vasijas dedicadas a este deseo.	내 명이 다하기 전에 페디미안이 완전히 복구되기를. {nl}하나못해 소원이 담긴 도자기를 천 개라도 빚을 수 있기를.	QUEST_20150317_000698	I hope Fedimian is restored to its previous state before I die. {nl}At least, I hope I can make thousands of potteries with a wish in each of them.	내가 죽기 전에 페디미안이 완전히 복구되기를. {nl}하나못해 소원이 담긴 도자기를 천 개라도 빚을 수 있기를.	도공의 점토판	
QUEST_20151001_002635	Espero poder triunfar en el sitio de excavación en el Mausoleo Real de Zachariel...	자카리엘의 왕릉 발굴지에서 크게 한건 할 수 있기를..	QUEST_20150317_000713	I hope I can make it big out of the excavation site of Zachariel's Royal Mausoleum...	자카리엘의 왕릉 발굴지에서 크게 한건 할 수 있기를.. 	케빈의 점토판	
QUEST_20151001_002636	Se lo ruego a la diosa. {nl}Espero que el día en que mi juramento a los Vigilantes se cumpla nunca llegue...	여신께 간청합니다. {nl}부디 파수꾼들과의 맹약을 실현시킬 그 날이 오지 않길..	QUEST_20150317_000723	I beg to the goddess. {nl}I hope the day where the Watchers collect my pledge never comes...	여신께 간청합니다. {nl}부디 파수꾼들과의 맹약을 실현시킬 그 날이 오지 않길.. 	팔라딘 마스터의 점토판	
QUEST_20151001_002637	Cuando por fin cierre los ojos, espero que mis muchos discípulos me protejan a mi lado.	내가 눈을 감을 땐, 많은 제자들이 나의 곁을 지켜 주었으면 좋겠다.	QUEST_20150317_000738	When I die, I hope my disciples will stand by me.	내가 죽을 땐, 많은 제자들이 나의 곁을 지켜 주었으면 좋겠다.	테슬라의 세 번째 파편	
QUEST_20151001_002638	Ahora es el momento en que nos volvemos uno con nuestras espadas. Mi último deseo es morir junto a quien amo.	검의 경지를 이룬 지금, 사랑하는 이의 품에서 눈을 감는 것 만이 마지막 소원이오.	QUEST_20150317_000744	Now is the moment that we become one with our blades. {nl}My last wish is to die beside the one I love.	검의 경지를 이룬 지금, 사랑하는 이의 품에서 죽는 것 만이 마지막 소원이오.	루클리스의 파편	
QUEST_20151001_002639	¿Por qué volviste?{nl}	왜 다시 돌아오셨죠?{nl}				단원 이르만타스	
QUEST_20151001_002640	Es muy afortunado saber que Grazina está bien.{nl}Pero supongo que Grazina no puede estar relajada desde que me dio esto.{nl}	그라지나가 무사하다니 정말 다행입니다.{nl}하지만 제게 이걸 굳이 전해 준 걸 보면 그라지나도 안심할 수 없는 모양입니다.{nl}				단원 이르만타스	
QUEST_20151001_002641	Esta es la segunda página del Conflicto de Roxona que les di hace un tiempo. {nl} Estaba entre los objetos que robó Grazina. Por favor recíbalo.{nl}	아, 이건 아까 드렸던 록소나 내전의 2장입니다.{nl}그라지나가 빼돌렸다는 물건 중에 껴 있더군요. 받아주세요.{nl}				단원 이르만타스	
QUEST_20151001_002642	Y Alina... no estoy segura. {nl} Ella corrió hacia el lado inferior así que creo que puede estar cerca de allí.	그리고 알리나는.. 저도 모르겠습니다.{nl}헤어질 때 아랫쪽으로 뛰어갔으니 아마 그 근처에 있지 않을까 합니다만.				단원 이르만타스	
QUEST_20151001_002643	Por favor encuentra a Alina...	그라지나의 이야기와 물건을 전했다				단원 이르만타스	
QUEST_20151001_002644	Por favor encuentra a Alina...	알리나를 찾아주십시오..				단원 이르만타스	
QUEST_20151001_002645	2da página del Conflicto de Roxona	록소나 내전 2장					
QUEST_20151001_002646	Pasó el tiempo y llegó el verano, la estación de las nuevas hojas verdes...{nl}Lydia Schaffen deambuló para encontrar a quien había matado a sus padres y familiares.{nl}Las diosas estaban de su lado después de todo.{nl}Por fin ha llegado el momento que estaba esperando.{nl}	시간은 흐르고 신록이 잦아드는 여름..{nl}리디아 샤펜은 부모와 친지를 죽인 원수를 찾아 헤멨다.{nl}여신은 결국 그녀의 편이였는가.{nl}기다리고 기다리던 때가 드디어 오고야 말았다.{nl}				록소나 내전 2장	
QUEST_20151001_002647	Uno a uno cayeron en la oscuridad ante sus inesperadas flechas.{nl}Aunque debería haber sido una pelea fácil para ellos, nunca supieron dónde estaba ella.{nl}El sonido de sus flechas rasgó el aire y la piel.{nl}Pronto no quedó nadie más que Lydia Schaffen, quien se quedó quieta.{nl}	어둠 속에서 예상하지 못한 그녀의 화살에 그들은 한 명씩 고꾸라졌다.{nl}일대 다의 승부임에도 불구하고 그들은 리디아 샤펜이 어디에 있는지조차도 몰랐다.{nl}그녀의 활이 튕기는 날카로운 울림은 공기와 살갗을 찢었다.{nl}그리고 아무도 없었다. 오직 리디아 샤펜만이 서 있었다.{nl}				록소나 내전 2장	
QUEST_20151001_002648	Lydia Schaffen levantó su antorcha.{nl}La llama vaciló siniestramente, haciendo que su sombra también vacilara...{nl}Quería ver los rostros de los villanos que mataron a sus padres y vecinos, así como que quemaron la aldea.{nl}Muchos de los rostros los vio por primera vez, pero algunos de ellos le eran familiares.{nl}Eran subordinados leales de Ruklys y ella conocía muy bien ellos.{nl} Si hubiera sido un momento más brillante y una ubicación diferente, ella podría haber notado el incidente antes de que ocurriera.{nl}Pero, el incidente había ocurrido y era irrevocable.{nl}Así como Lydia Schaffen tenía sus razones para matar a sus enemigos, Ruklys ahora tenía las suyas: derrotarla por matar a sus subordinados.{nl}	리디아 샤펜은 횃불을 들었다.{nl}불길하게 흔들리는 횃불, 일렁이는 그림자..{nl}부모와 이웃을 죽이고 마을을 불태워버린 흉악한 악당들의 얼굴을 확인하고 싶었다.{nl}모르는 자들이 적지 않았으나 그 가운데 낯익은 얼굴들이 보였다.{nl}그들은 루클리스의 충성스런 부하들이었고 그녀도 잘 아는 사람들이었다.{nl}조금 더 밝은 시간에 다른 장소였다면, 혹은 더 나은 상황이었다면 일이 이렇게 되기 전에 알아차릴 수도 있었다.{nl}그러나 일은 벌어졌고 사건은 돌이킬 수 없는 것이 되었다.{nl}이유가 어디 있건 리디아 샤펜이 그녀의 원수를 처단하지 않을 수 없었던 것처럼 루클리스 역시 부하들을 살해한 자를 그냥 넘길 수 없으리라.{nl}				록소나 내전 2장	
QUEST_20151001_002649	Con una lúgubre sensación de vergüenza y una vergüenza desconocida, {nl} silenciosamente tomó su arco y abandonó el lugar. {nl} La noticia pronto llegó a Ruklys. {nl} Ambos se consolaron pensando que acababan de caer en un plan perverso. {nl} Pero fue inútil. Sintieron la vaga sombra del malvado plan detrás de ellos.{nl}	암울한 자괴감과 낯선 당혹감 속에서 그녀는 조용히 활을 챙겨 천천히 그 장소를 떠났다.{nl}머지 않아 이 소식은 루클리스의 귀에 들어갈 것이다.{nl}역겨운 흉계에 빠졌을 뿐이다.{nl}그렇게 스스로를 위로해 봤자 소용 없는 일이었다.{nl}그와 그녀 둘 다 어렴풋이 흉계 뒤의 그림자를 느끼고 있었다.{nl}				록소나 내전 2장	
QUEST_20151001_002650	Pero ya era demasiado tarde. {nl} No había nada que ella pudiera hacer excepto acabar con Ruklys, {nl} con las flechas que ahora ama y odia. {nl} O si no, su espada la guiará hacia las diosas... No había nada que ella pudiera hacer.	하지만 이미 때는 늦었다.{nl}애증어린 화살로 루클리스의 숨을 거두어 주는 일 외에는 해줄 것이 없었다.{nl}혹은 그의 검이 그녀를 여신의 품으로 인도하는 일 밖엔.. 할 수 있는 것이 없었다.				록소나 내전 2장	
QUEST_20151001_002651	Hay una cosa más que debo decirte. {nl}Sigue el nombre de Ruklys.{nl}	그리고 한 가지 더. {nl}그대는 루클리스라는 이름을 쫓아가야 합니다.{nl}	QUEST_20150317_000793	I wish you well... {nl}And may you and this land be blessed. 	부디 건강하길 바라며.. {nl}당신과, 이 땅에 축복을 기원합니다.	여신 아우스테야	
QUEST_20151001_002652	Su campo de batalla final...{nl}LLa revelación de Laima en la Fortaleza de la Tierra te está esperando.{nl}	그가 머물렀던 최후의 항전지.. {nl}대지의 요새에서 라이마님의 계시가 당신을 기다리고 있습니다.{nl}				여신 아우스테야	
