INTL_20160728_000026	Aplica beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 1회 추가입장	INTL_20160426_000019	Otorga beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl}(Se acumula con el efecto del Tomo de EXP){nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160728_000027	Aplica beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장	INTL_20160426_000020	Aplica beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160728_000028	Aplica beneficios de Token a todos tus personajes en el servidor durante 7 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 미션,던전 1회 추가입장				
INTL_20161107_000029	Haz clic derecho para obtener los siguientes objetos:{nl} - 150x Poción de HP Muy Enriquecida {nl} -  150x Poción de SP Muy Enriquecida {nl}- 20x Bola de Miel {nl}- 20x Poción de Apoyo de Asentamiento{nl}- 10x Vale de Completado de Instancia {img star_mark 20 20}{nl}- 20x Cristal de Alma{nl} - 30x Pergamino de Teletransporte {nl}- 10x Pergamino de Encantamiento{nl} - 1x Poción de Reinicio de Habilidades{nl}- 1x Poción de Reinicio de Estadísticas	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 고농축 HP포션 150개{nl} - 고농축 SP포션 150개{nl} - 대왕꿀송편 20개{nl}- 정착지원 포션 20개{nl}- 인스턴스 던전 소탕권 [★] 10개{nl}- 소울 크리스탈 20개{nl}- 워프주문서 30개{nl}- 마부스크롤 10개{nl}- 스킬 초기화 포션 1개{nl}- 스탯 초기화 포션 1개				
INTL_20161114_000030	Retraso de pago de plata por ventas del Mercado: 24 horas.	마켓 판매 실버대금 딜레이 24시간.				
INTL_20161114_000031	Retraso de pago de plata por ventas con Token: 1 hora.	토큰전용 판매실버대금 1시간.				
INTL_20161114_000032	Retraso de pago de plata por ventas con Token: 24 horas.	토큰전용 판매실버대금 24시간.	INTL_20161114_000031	Retraso de pago de plata por ventas con Token: 1 hora.	토큰전용 판매실버대금 1시간.	
INTL_20161121_000033	Haz clic derecho para obtener los siguientes objetos:{nl} - 100x Poción de HP Altamente Condensada {nl} -  100x Poción de SP Altamente Condensada {nl}- 10x Bola de Miel {nl}- 10x Poción de Apoyo de Asentamiento{nl}- 5x Vale de Completado de Instancia {img star_mark 20 20}{nl} - 1x Poción de Reinicio de Habilidades{nl}- 1x Poción de Reinicio de Estadísticas	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 고농축 HP포션 100개{nl} - 고농축 SP포션 100개{nl} - 대왕꿀송편 10개{nl}- 정착지원 포션 10개{nl}- 인스턴스 던전 소탕권 [★] 5개{nl}- 스킬 초기화 포션 1개{nl}- 스탯 초기화 포션 1개				
INTL_20161214_000034	Los usuarios de Token no se ven afectados.	토큰 사용자는 상/하안가에 영향을 받지 않는다.				
INTL_20161214_000035	¿Será el Token comerciable después de ser comerciado en el Mercado? (1: comerciable, 0: no comerciable)	토큰은 마켓에서 거래한 이후에도 계속 거래 가능하게 할 것인가?(1:거래가능, 0:거래불가)				
INTL_20170510_000036	Haz clic derecho para obtener los siguientes objetos:{nl} - Token: 7 Días [Evento]{nl} - Pergamino de Encantamiento (14 Días) x10{nl} - Emote Plus: Popolion{nl}- Caja de Traje Simple{nl}- Abanico Imperial (30 Días){nl} - Boina Roja{nl} - Tinte Salmón Claro{nl} - Lentes de Contacto Carmesí{nl} - Poción de Apoyo de Asentamiento Nv2 x10{nl} -Poción de Restauración Keista Nv2 x20	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰:7일[증정용]{nl} - 마법 부여 스크롤(14일) 10개{nl} - 이모티콘 플러스 패키지 : 포포리온{nl}- 심플 코스튬 상자{nl}- 파초선(30일){nl} - 붉은 베레모{nl} - 라이트 살몬 염색약{nl} - 크림슨 렌즈{nl} - 정착 지원 포션 Lv2 10개{nl} - 케이스타스 회복포션Lv2 20개				
INTL_20170605_000037	Una corona creada en nombre de una reina sin nombre.{nl} Se puede intercambiar por medallas en la Tienda de Intercambio.	이름없는 여왕을 위해서 제작된 왕관입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170605_000038	Una herramienta hecha de material elástico largo que, al aplicar esfuerzo, produce energía al girar.{nl} Se puede intercambiar por medallas en la Tienda de Intercambio.	축을 중심으로 돌려서 길다란 고탄성 소재를 감은뒤 그것이 돌아가는 힘을 이용해 동력을 만들어내는 장치입니다.{nl}리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170605_000039	Una herramienta usada para hornear pan rápidamente.{nl} Se puede intercambiar por medallas en la Tienda de Intercambio.	쉽게 빠르게 빵을 굽는 도구입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170605_000040	La forma más avanzada de transmitir información.{nl} Se puede intercambiar por medallas en la Tienda de Intercambio.	정보를 전달하는 이 세계의 최신 기술입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170703_000041	¡Sí, girar la cabeza unos 270 grados es posible!{nl}Se puede intercambiar por medallas en la Tienda de Intercambio.	고개를 약 270도 까지 돌리는 것이 가능합니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170703_000042	Una pequeña figura tallada por un Dievdirbys.{nl}Se puede intercambiar por medallas en la Tienda de Intercambio.	딥디르비가 만든 착용 가능한 세계수 조각 머리 장식입니다.{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170728_000043	¡¡¡ESPARTAAAAA!!!{nl}Se puede intercambiar por medallas en la Tienda de Intercambio.	스파르타!!!!!{nl} 리사이클샵에서 메달로 교환 가능합니다.				
INTL_20170925_000044	Aplica beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160728_000025	Aplica beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20170925_000045	Aplica beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160728_000027	Aplica beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장	
INTL_20170925_000046	Otorga beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl}(Se acumula con el efecto del Tomo de EXP){nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160426_000021	Otorga beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl}(Se acumula con el efecto del Tomo de EXP){nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20170925_000047	Aplica beneficios de Token a todos tus personajes en el servidor durante 7 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 미션,던전 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	INTL_20160728_000028	Aplica beneficios de Token a todos tus personajes en el servidor durante 7 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 7일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 미션,던전 1회 추가입장	
INTL_20171013_000048	Pergamino de Transformación Especial	특별한 변신 스크롤				
INTL_20171013_000049	Un pergamino que permite al usuario transformarse.	변신하는 스크롤입니다.				
INTL_20171013_000050	Usar para seleccionar un arma de nivel 315.	315제 무기 장비를 선택할 수 있습니다.				
INTL_20171023_000051	Haz clic derecho para obtener los siguientes objetos.{nl}- Globo Cachorro x1{nl}- Yunque de Diamante x1{nl}- Yunque Dorado x3{nl}- Yunque de Plata x3{nl}- Cupón de Mejora: 100,000 de Plata x10{nl}- Puntos de Atributo: 1,000 x1{nl}- Poción de HP Altamente Condensada x20{nl}- Poción de SP Altamente Condensada x20{nl}- Poción de Apoyo de Asentamiento Nv2 x10{nl}- Estatua de la Diosa x5{nl}- Poción de Velocidad de Movimiento Altamente Condensada x5	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 강아지 풍선{nl} - 다이아몬드 모루{nl} - 황금 모루 3개{nl}- 은빛 모루 3개{nl}- 강화 실버 할인 쿠폰 : 10만 실버 10개{nl} - 특성 포인트 1,000{nl} - 고농축 HP포션 20개{nl} - 고농축 SP포션 20개{nl} - 정착 지원 포션 Lv2 10개{nl} - 여신의 조각상 5개{nl} - 고농축 이동속도 증가 포션 5개				
INTL_20171103_000052	Cubo de Muñeca Maldita	생존 보상 큐브				
INTL_20171205_000053	- Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - Una entrada adicional en misiones y mazmorra	 - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 캐릭터 이동속도 +3{nl} - 미션,던전 1회 추가입장{nl} - 프리미엄 제스쳐 사용 가능{nl}	INTL_20160323_000004	- Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - Solo puedes comerciar hasta 30 veces{nl	- 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3{nl} - 미션,던전 1회 추가입장{nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능{nl}	
INTL_20171205_000054	Otorga beneficios de Token a todos tus personajes en el servidor durante 30 días. Consulta el tiempo restante en Info del Personaje.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - Puedes registrar objetos en el Mercado fuera de los límites de precio mín./máx.{nl} - Puedes recuperar la plata del Mercado instantáneamente{nl} - +30% de EXP al cazar monstruos{nl}(Se acumula con los efectos del Tomo de EXP){nl} - Puedes usar Gestos Premium{nl} - +1 recompensa adicional de las Misiones Saalus{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - Descuento de 2 Piedras en entradas de Mazmorra de Incursión	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다. 캐릭터 정보창에서 잔여 시간을 확인하실 수 있습니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 10개{nl} - 마켓 상/하한가 관계없이 물품 등록 가능{nl} - 마켓 판매금 즉시 수령{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 팀 창고 이용 가능{nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 살러스 수녀원 미션 완료 보상 +1{nl} - 레이드 던전 입장 아이템 소모 개수 -2	INTL_20170925_000044	Aplica beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장{nl} - 살러스 수녀원 미션 완료 보상 +1	
INTL_20171222_000055	Caja de Álbum de Cartas de Monstruo	몬스터 카드첩 상자				
INTL_20171222_000056	Haz clic derecho para obtener los siguientes objetos:{nl} - Álbum de Cartas de Monstruo: Rojo x1{nl} - Álbum de Cartas de Monstruo: Azul x1{nl} - Álbum de Cartas de Monstruo: Verde x1{nl} - Álbum de Cartas de Monstruo: Púrpura x1	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 몬스터 카드첩 : 레드 x1{nl} - 몬스터 카드첩 : 블루 x1{nl} - 몬스터 카드첩 : 그린 x1{nl} - 몬스터 카드첩 : 퍼플 x1				
INTL_20180102_000057	Título - Feliz Año Nuevo 2018	칭호 - 2018 Happy New Year				
INTL_20180102_000058	Una llave entregada a los participantes del evento de Saludos de Deseos de Feliz Año Nuevo 2018.{nl}Parece que podría abrir Barras de Oro.	2018 Happy New Year Wishes Greetings 수상자에게 지급되는 열쇠입니다.{nl}금괴를 열 수 있을 것 같습니다.				
INTL_20180108_000059	Una llave entregada a los participantes del evento de Saludos de Deseos de Feliz Año Nuevo 2018.{nl}Parece que podría abrir una especie de bóveda.	2018 Happy New Year Wishes Greetings 수상자에게 지급되는 열쇠입니다.{nl}금고를 열 수 있을 것 같습니다.				
INTL_20180108_000060	¡Recibiste una Llave de la Suerte del evento de Facebook!{nl}(28 de diciembre de 2017 al 9 de enero de 2018)	Lucky Key는 Facebook 이벤트에서 지급되었습니다.{nl}(2017년 12월 28일 ~ 2018년 1월 9일)				금괴
INTL_20180108_000061	Bóveda	금고				
INTL_20180115_000062	Título otorgado a los ganadores del festival de fanart ¡Actualización de Rango: Edición de 4 Nuevas Clases!	Rank Update: 4 New Classes Edition! 수상자에게 지급되는 칭호입니다.				
INTL_20180115_000063	Título - Artista de Nueva Clase	칭호 - New Class Artist				
