QUEST_LV_0200_20150317_000001	Soldado de Felipe
QUEST_LV_0200_20150317_000831	El plan no fracasará. {nl}Se lo prometo a las tropas de Johan.
QUEST_LV_0200_20150317_000832	Parece que has hecho más que Roy. {nl}Si no fuera por ti, no lo habríamos logrado. {nl}
QUEST_LV_0200_20150317_000833	Espero que las bendiciones de la diosa te acompañen en tu camino.
QUEST_LV_0200_20150317_000834	No puedo cerrar los ojos hasta que derrotemos a ese monstruo.
QUEST_LV_0200_20150317_000835	¿Cuándo terminará este sentimiento tan lamentable? {nl}Cuando miro las almas, no creo que vaya a terminar.
QUEST_LV_0200_20150317_000836	Puedo conformarme con suministros o refuerzos retrasados. {nl}Pero decirnos que simplemente esperemos es demasiado.
QUEST_LV_0200_20150317_000837	Me preocupa de dónde saldrán los monstruos{nl}. Planeo huir si aparece un monstruo desconocido.
QUEST_LV_0200_20150317_000838	Estamos compensando la falta de suministros. {nl}Si los suministros no llegan, tenemos que cubrirlos en el sitio.
QUEST_LV_0200_20150317_000839	De alguna manera, al menos las tropas de Sir Philipas...
QUEST_LV_0200_20150317_000840	Había otra ruta que usábamos antes. {nl}Pero se puso así cuando apareció de repente ese árbol gigantesco. {nl}
QUEST_LV_0200_20150317_000841	Estamos despejando esta ruta para facilitar el suministro, pero... {nl}Como si los monstruos que nos aíslan no fueran suficientes, ahora no hay noticias de suministros y los soldados se están cansando.
QUEST_LV_0200_20150317_000842	Te agradecería que pudieras hacerlo. {nl}Si nos liberas de sus ataques, incluso podrías elevar la moral de las tropas.
QUEST_LV_0200_20150317_000843	Quiero dejarlo todo atrás y simplemente descansar. {nl}Pero pensando en mis hombres...
QUEST_LV_0200_20150317_000844	Los monstruos se están tragando a mis compañeros. {nl}Esto nunca había sucedido antes de que apareciera ese gran árbol en la capital...
QUEST_LV_0200_20150317_000845	Cada vez hay más almas errantes, {nl}y almas que desaparecen repentinamente. Es realmente aterrador.
QUEST_LV_0200_20150317_000846	Primero, tienes que encontrar al Tejedor de Tronos escondido. {nl}Por favor, reúne Hojas Ridimidas. Al Tejedor de Tronos le encantan. {nl}{nl}
QUEST_LV_0200_20150317_000847	Bien. {nl}Primero, derrota a los Grandes Grivas Azules en las colinas y ponles freno.
QUEST_LV_0200_20150317_000848	Me arrepiento. No puedo cerrar los ojos así.
QUEST_LV_0200_20150317_000849	Tengo una petición{nl}. Por favor, salven a mis compañeros. Serán devorados si no los salvamos rápidamente.
QUEST_LV_0200_20150317_000850	Hay un nido de monstruos al final de este camino. {nl}Puede que mis colegas aún estén vivos allí.
QUEST_LV_0200_20150317_000851	Gracias. {nl}Mis colegas fueron llevados al nido al final del camino.
QUEST_LV_0200_20150317_000852	No puedo sentir al búho que guía a las almas en el cruce de caminos de Ishrai. {nl}Me preocupa que haya sido atacado por los monstruos.
QUEST_LV_0200_20150317_000853	Espero que no le haya pasado nada...
QUEST_LV_0200_20150317_000854	Los ataques de los monstruos se están volviendo más fuertes y no hay noticias de las tropas que salieron. {nl}Esto no es bueno.
QUEST_LV_0200_20150317_000855	Gracias. {nl}Pensé que permanecería inactivo para siempre así. {nl}
QUEST_LV_0200_20150317_000856	Es confuso. {nl}Parece que hay algo con Lydia Schaffen y Ruklys... pero siguen siendo traidores, ¿verdad?
QUEST_LV_0200_20150317_000857	(No puedes leerlo porque está roto.)
QUEST_LV_0200_20150317_000858	Estamos tras un monstruo desconocido. {nl}Espero que no sea Deadborn, pero tengo la sensación de que sí. ¿Puedes ayudarnos?
QUEST_LV_0200_20150317_000859	Eso es raro{nl}. Creo que vi un Deadborn... ¿Qué opinas?
QUEST_LV_0200_20150317_000860	Querido Revelador, ¡préstanos tu fuerza! Estamos luchando contra Saltister y nosotros solos no somos suficientes.{nl}
QUEST_LV_0200_20150317_000861	¡Eres genial, como era de esperar! El comandante Vacenin quiere conocerte. Ve al campamento cuanto antes.
QUEST_LV_0200_20150317_000862	Soldado Rodolfo
QUEST_LV_0200_20150317_000863	Incluso si eres el Revelador, este lugar es demasiado peligroso. {nl}Por favor, dirígete a una zona segura.
QUEST_LV_0200_20150317_000864	¿Qué te dije? {nl}Gracias por tu ayuda, pero deberías volver pronto.
QUEST_LV_0200_20150317_000865	Soldado Aspas
QUEST_LV_0200_20150317_000866	Fui descuidado. {nl}Sería un gran problema si los monstruos atacaran ahora.
QUEST_LV_0200_20150317_000867	Me salvaste. {nl}¿Sabes qué les pasó a mis colegas?
QUEST_LV_0200_20150317_000868	Meleech se tragó el anillo de compromiso de Dominic. {nl}Lo perdí, es realmente terrible.
QUEST_LV_0200_20150317_000869	Este lugar es demasiado peligroso para que los ciudadanos transiten por él. {nl}Vaya a una zona segura.
QUEST_LV_0200_20150317_000870	Entiendo que eres fuerte, pero es peligroso andar sola por aquí.
QUEST_LV_0200_20150317_000871	Podría haber apoyado a O'Rourke y a las tropas, si no hubiera resultado herido...
QUEST_LV_0200_20150317_000872	Este lugar es peligroso. {nl}Sobre todo con Ironbaum cerca, nunca había visto un monstruo tan violento.
QUEST_LV_0200_20150317_000873	Todavía hay muchos que no han regresado{nl}. ¿De verdad tenemos que pasar por todo este peligro para despejar el camino hacia la zona del desfiladero?
QUEST_LV_0200_20150317_000874	Estoy a salvo gracias a mis colegas. {nl}No pensé que podríamos derrotar a Ironbaum.
QUEST_LV_0200_20150317_000875	El espíritu del obispo Aurelio
QUEST_LV_0200_20150317_000876	Revelador... Ha pasado mucho tiempo. {nl}He esperado siglos para guiarte. {nl}
QUEST_LV_0200_20150317_000877	Esta Gran Catedral es un legado de Maven, el primer obispo, y un santuario con una revelación. {nl}Pero no puedo abandonar esta zona en concreto. {nl}Tal como están las cosas, no tengo poder para ayudar a la santa misión.
QUEST_LV_0200_20150317_000878	Ha valido la pena la larga espera. {nl}Aunque mi cuerpo esté así, ahora mismo estoy rebosante de emoción.
QUEST_LV_0200_20150317_000879	Esto será suficiente.
QUEST_LV_0200_20150317_000880	Creo que una escritura contendrá bien las Esencias del Espíritu. {nl}Desafortunadamente, todas están en Pamaldu Groom. {nl}
QUEST_LV_0200_20150317_000881	Aunque solo soy un espíritu, me he ofrecido a la diosa. {nl}Quiero ser incluido en una escritura.
QUEST_LV_0200_20150317_000882	¿Has terminado con el ritual? {nl}Comprueba si esta escritura puede llamarme correctamente.
QUEST_LV_0200_20150317_000883	Espléndido. {nl}Ahora debes resolver el secreto de la Gran Catedral y obtener la revelación. {nl}
QUEST_LV_0200_20150317_000884	Por supuesto, habrá dificultades. {nl}La carga de la santa misión sin duda pesará sobre vuestros hombros. {nl}
QUEST_LV_0200_20150317_000885	Pero solo tú y la diosa podéis salvar este mundo..{nl}Aun sabiendo que mi cuerpo acabaría así, deseaba guiarte.
QUEST_LV_0200_20150317_000886	No te preocupes. Solo tienes que terminar el cuenco para sostenerme. {nl}Primero, reúne la Esencia del Alma. {nl}
QUEST_LV_0200_20150317_000887	Oh, el recipiente debe completarse en el Altar de la Estabilidad. {nl}He pasado siglos sin cuerpo, así que espero que consigas una escritura decente.
QUEST_LV_0200_20150317_000888	Es simple. {nl}Utiliza la escritura del alma en tu inventario.
QUEST_LV_0200_20150317_000889	Clérigo
QUEST_LV_0200_20150317_000890	Esta Gran Catedral es como un depósito de conocimiento. {nl}Por supuesto, eso debería significar que podemos encontrar cómo liberar las maldiciones de Naktis.
QUEST_LV_0200_20150317_000891	Ya casi he terminado de estudiar esta zona, pero necesitamos los informes de los clérigos de otras áreas. {nl}Si te encuentras con otros clérigos en la Gran Catedral, ¿podrías conseguir sus informes para mí?
QUEST_LV_0200_20150317_000892	Si tenemos los informes, incluso la maldición de Naktis será como un simple hechizo. {nl}Sí, así es. ¡Excelente trabajo! {nl}
QUEST_LV_0200_20150317_000893	¿No da miedo aquí dentro? Incluso la escultura del búho da una sensación lúgubre.{nl}
QUEST_LV_0200_20150317_000894	He oído hablar de avistamientos de almas con resentimiento. {nl}Si es cierto... Eh, tú no eres una de ellas, ¿verdad?
QUEST_LV_0200_20150317_000895	Sepulturero Romas
QUEST_LV_0200_20150317_000896	Ser un Revelador no significa que puedas deambular libremente mañana como lo haces hoy.
QUEST_LV_0200_20150317_000897	Todos los Reveladores que dijeron ser diferentes nunca llegaron muy lejos.
QUEST_LV_0200_20150317_000898	Este no es un lugar para que transiten civiles y no sucederá en un futuro cercano. {nl}Es demasiado peligroso.
QUEST_LV_0200_20150317_000899	Mis colegas siguen dentro. {nl}Es frustrante porque no hay manera de saber qué les pasó.
QUEST_LV_0200_20150317_000900	No puedo perdonarlos por haber dejado la torre en semejante estado.
QUEST_LV_0200_20150317_000901	Será mejor que tengas cuidado. {nl}¿Por qué crees que incluso los magos huyeron?
QUEST_LV_0200_20150317_000902	Podemos ayudar a la diosa Gabija si tenemos la Joya de la Prominencia.
QUEST_LV_0200_20150317_000903	Ahora que el círculo mágico de transporte ha sido destruido, tenemos que enfrentarnos cara a cara.
QUEST_LV_0200_20150317_000904	Creo que puedo recordar algo... Pero primero, es importante ir a la diosa.
QUEST_LV_0200_20150317_000905	Uf, me duele la cabeza... {nl}Quizás sea por el viejo loco de hace un tiempo...
QUEST_LV_0200_20150317_000906	Esto no tiene fin. Quiero quemarlo todo.
QUEST_LV_0200_20150317_000907	¡Les haré pagar por lo que le hicieron a nuestra torre!
QUEST_LV_0200_20150317_000908	No puedo seguir así deprimida después de que me hayas ayudado tanto.
QUEST_LV_0200_20150317_000909	Aunque las probabilidades estén en tu contra, puedes darle la vuelta a la situación si haces la formación perfecta. {nl}Pero todo esto es inútil si disfrutas de la soledad.
QUEST_LV_0200_20150317_000910	Todos están muertos o huyeron. {nl}Supongo que soy el único que queda en este piso. Esos cobardes.
QUEST_LV_0200_20150317_000911	Es un gran error subestimar a los Corsairs en batallas terrestres{nl}. Mientras haya un lugar donde poner un pie, somos invencibles.
QUEST_LV_0200_20150317_000912	Eternidad... Mira a Tesla. {nl}No creerás que no hay vejez en la vida eterna, ¿verdad?
QUEST_LV_0200_20150317_000913	No me compares con los viejos que tallan búhos en simples troncos de árboles. {nl}Siempre uso los mejores materiales.
QUEST_LV_0200_20150317_000914	Soldado de suministros
QUEST_LV_0200_20150317_000915	No sé nada de las líneas del frente, pero no tiene sentido quejarse a la Unidad de Retaguardia. {nl}La Retaguardia debe trabajar bien para que los suministros lleguen a su destino.
QUEST_LV_0200_20150317_000916	Ni siquiera puedo contar cuántos monstruos tuve que combatir en mi camino hasta aquí.{nl}
QUEST_LV_0200_20150317_000917	Después de estar en esta batalla durante tanto tiempo, incluso me pregunto si realmente existió una diosa. {nl}Me pregunto si esto es un sueño, o si podremos despertar de él.
QUEST_LV_0200_20150317_000918	Incluso con las tropas de escolta protegiéndonos, estuve a punto de morir dos veces.
QUEST_LV_0200_20150317_000919	La tropa de suministros es más segura en comparación con otras tropas. {nl}Pero realizan mucho más trabajo manual, por lo que la gente la evita.
QUEST_LV_0200_20150317_000920	Cuanto más se prolonga la batalla, más soldados desertan. {nl}Es realmente frustrante.
QUEST_LV_0200_20150317_000921	Entiendo que abandonar los suministros y huir significa fracasar en la misión. {nl}Pero necesitas estar vivo para entregar los suministros, ¿no?
QUEST_LV_0200_20150317_000922	Revelación de la Gran Catedral
QUEST_LV_0200_20150317_000923	Si esta revelación llega a ti, significaría que Maven cumplió su misión espléndidamente.{nl}Aquí, me gustaría hablarte sobre los principios de un mundo diferente a este.
QUEST_LV_0200_20150317_000924	Existe otro mundo más allá del mundo en el que vives{nl}. No puedes cruzar ambos mundos a menos que tengas poderes supremos{nl}. Al menos, eso era así antes de que surgiera el Árbol Divino.{nl}
QUEST_LV_0200_20150317_000925	Las secuelas del desastre dejaron una herida, abriendo grietas que dividieron estos dos mundos. {nl}Y entonces, los demonios cruzaron libremente entre mundos a través de la grieta dimensional. {nl}
QUEST_LV_0200_20150317_000926	La grieta dimensional está dispersa por muchos lugares. {nl}Pero el mayor problema sería el de la Prisión Demoníaca, donde están encarcelados los demonios más peligrosos.
QUEST_LV_0200_20150317_000927	Si los demonios se unen a los de la Prisión Demoníaca a través de la grieta dimensional... {nl}Será otra amenaza para este mundo. {nl}
QUEST_LV_0200_20150317_000928	Le he dicho a Vakarine que se prepare para ello. {nl}Pero la incertidumbre que traen los demonios desgarrados podría alcanzarla. {nl}
QUEST_LV_0200_20150317_000929	La brecha, una vez abierta, seguirá ampliándose. {nl}Querido Salvador, por favor ayuda a Vakarine lo antes posible. {nl}{nl}
QUEST_LV_0200_20150317_000930	Obispo
QUEST_LV_0200_20150317_000931	Has llegado. El dispositivo de Maven está aquí. Debes pisar ambos escalones para liberarlo.
QUEST_LV_0200_20150317_000932	Uf, esto es realmente interminable{nl}. No sé cuánto tiempo más podré soportarlo.
QUEST_LV_0200_20150317_000933	Tenemos que levantarnos de nuevo. {nl}Tu ayuda me dio la fuerza para derrotar al monstruo.
QUEST_LV_0200_20150317_000934	Mensaje del peregrino moribundo
QUEST_LV_0200_20150317_000935	La mayoría de los Cristales de Raíz de Árbol en la Tierra Iluminada por Rayos están podridos. {nl}Maldicen, se descomponen y se convierten en monstruos. {nl}Deben ser destruidos antes de que ocurran más desastres.
QUEST_LV_0200_20150317_000936	{nl}No sé quién leerá esta nota. {nl}Algunos cristales de raíz de árbol han insertado su núcleo en monstruos. {nl}Puedes destruir al menos un pilar si traes al monstruo y ves su reacción al pilar.
QUEST_LV_0200_20150317_000937	Bien hecho. {nl} Ahora, a continuar a este ritmo... {nl}
QUEST_LV_0200_20150317_000938	Sobre el segundo secreto.{nl}Desafortunadamente, los demonios de Naktis se adelantaron. {nl}
QUEST_LV_0200_20150317_000939	Me alivia que lo hayamos recuperado. {nl}Por fin podré ver la santa reliquia después de la muerte. {nl}
QUEST_LV_0200_20150317_000940	Lleva esa reliquia sagrada al Salón Pequeño y colócala sobre el altar. {nl}Solo entonces podrás obtener la primera llave de Maven.
QUEST_LV_0200_20150317_000941	Estoy estudiando cómo liberar la maldición de Naktis. {nl}¿Puedes conseguirme algunas muestras de monstruos para las pobres personas que están bajo la maldición de los monstruos?
QUEST_LV_0200_20150317_000942	Hubiera estado bien que la Iglesia nos hubiera enviado suficiente gente. {nl}Oh, será mejor que pruebe las muestras que trajiste.
QUEST_LV_0200_20150317_000943	Oh no, esa es una reacción insípida. {nl}Estoy seguro de que cada maldición tiene su propia característica, pero parece que hay una clave para ello..{nl}
QUEST_LV_0200_20150317_000944	Creo que necesito volver a probarlo en lugar de solo imaginarlo. {nl}Lo siento, pero ¿podrías conseguirme una muestra de monstruo diferente esta vez?
QUEST_LV_0200_20150317_000945	Pensé que solo tenía que igualar las propiedades del monstruo, pero parece que es lo contrario. {nl}Naktis... ¿Qué podría estar moviendo a ese demonio?
QUEST_LV_0200_20150317_000946	Oh, supe de Titas, pero no pensé que fueras tú. Me siento más tranquilo. {nl}Bueno, entonces, por favor, apoyen la misión de exterminio de monstruos.
QUEST_LV_0200_20150317_000947	Los demás clérigos se encuentran en el Gran Corredor, la Ruta de la Penitencia y el Santuario. {nl}La investigación es importante, pero espero que estén a salvo. {nl}{nl}Si ve a los demás clérigos, por favor envíeles mis saludos. {nl}Se encuentran en lugares peligrosos.
QUEST_LV_0200_20150317_000948	Sacerdote Inea
QUEST_LV_0200_20150317_000949	¿Por qué la diosa deja en paz a esos monstruos blasfemos...? ¿Es esta también la voluntad de la diosa?{nl}
QUEST_LV_0200_20150317_000950	No es fácil conseguir muestras. {nl}Tampoco hay suficientes para la investigación.
QUEST_LV_0200_20150317_000951	Ah, esta vez sí que hubo reacción. {nl}Lo habría pasado mal si no fuera por tu ayuda. ¡Gracias!
QUEST_LV_0200_20150317_000952	Tenemos que encargarnos de ello antes de que llegue a Naktis. {nl}Por favor, derrota a los demonios y encuentra la santa reliquia de la salvación.
QUEST_LV_0200_20150317_000953	Sacerdote de la evidencia
QUEST_LV_0200_20150317_000954	¿Encontraste las hierbas?
QUEST_LV_0200_20150317_000955	Dame las hierbas.
QUEST_LV_0200_20150317_000956	Necesito hierbas para preparar la medicina.
QUEST_LV_0200_20150317_000957	Preparación del medicamento finalizada.
QUEST_LV_0200_20150317_000958	Primero necesitas obtener todas las claves de Maven. {nl}Y necesitas resolver muchos secretos para obtener la clave.
QUEST_LV_0200_20150317_000959	Lamentablemente, es voluntad de Maven que resuelvas todos los secretos por tu cuenta. {nl}Primero, sube a la plataforma en el Oratorio de Meile para resolver el primer secreto y obtener la Sagrada Reliquia de la Misericordia.
QUEST_LV_0200_20150317_000960	Escribiendo en la plataforma
QUEST_LV_0200_20150317_000961	Recuerda el número sagrado con tus dos ojos. {nl}La luz de las velas ahuyenta la oscuridad maligna.
QUEST_LV_0200_20150317_000962	Debes revisar minuciosamente los escritos del altar. {nl}Bueno, entonces esperaré en el Gran Salón.
QUEST_LV_0200_20150317_000963	Debes haber visto el anuncio de reclutamiento. {nl}Es cierto que nos falta personal militar.
QUEST_LV_0200_20150317_000964	La persona a cargo de la misión en Soul Peak es Julian. {nl}Probablemente te recibirá con los brazos abiertos.
QUEST_LV_0200_20150317_000965	Eso fue genial{nl}. Fuiste de gran ayuda para esta misión. ¿Qué opinas sobre alistarte en el ejército?
QUEST_LV_0200_20150317_000966	¿Es posible que eso se rompa? {nl}¿Qué...? Me quedo sin palabras. {nl}
QUEST_LV_0200_20150317_000967	Pero tienes que pagar por dañar las instalaciones públicas. {nl}Lo siento, pero tienes que arreglar el sello de madera.
QUEST_LV_0200_20150317_000968	Gracias por decir eso. {nl}Supongo que es mejor apoyar a las tropas de Julian en Soul Peak que aquí.
QUEST_LV_0200_20150317_000969	Planeo exterminar a los monstruos que obstaculizan el camino hacia la zona del desfiladero.
QUEST_LV_0200_20150317_000970	He oído que la madera de Pirent en el Acantilado Lleno de Jade es sólida y elástica. {nl}Puedes conseguir cuerdas para atarlas de los Lanceros de Red Panto. Consíguemelas primero.
QUEST_LV_0200_20150317_000971	El aldeano Darren
QUEST_LV_0200_20150317_000972	¿Eres tú el enviado por José de Klaipeda? {nl}Bueno, incluso si no lo eres, por favor ayuda a nuestra aldea. {nl}
QUEST_LV_0200_20150317_000973	Estábamos bien incluso durante Medzio Diena, pero hace algún tiempo, las abejas de repente se convirtieron en monstruos. {nl}Las otras granjas de abejas ya se han convertido en un desastre, y ahora me preocupa cómo le irá a nuestra granja de abejas.
QUEST_LV_0200_20150317_000974	Nuestro pueblo vivía de la apicultura y la hidromiel. {nl}La diosa Austeja nos cuida, así que estábamos mejor que otros pueblos.
QUEST_LV_0200_20150317_000975	Y entonces, en Medzio Diena, nuestras abejas, antes normales, se convirtieron repentinamente en monstruos. {nl}Además, la diosa Austeja desapareció, y los sacerdotes nos dijeron que esperáramos su regreso. {nl}Estos días han sido frustrantes.
QUEST_LV_0200_20150317_000976	¿En serio? Los otros Reveladores simplemente nos ignoraron..{nl}. El nuestro es el Apiario Rododun, que está un poco más adelante{nl}. Gracias.
QUEST_LV_0200_20150317_000977	Espero que no haya pasado nada{nl}. Hemos puesto mucho esfuerzo en la granja. No podemos simplemente perderlo.
QUEST_LV_0200_20150317_000978	¿La granja de abejas está bien? Qué alivio{nl}. Tengo que pensar en una forma de proteger la granja de abejas ahora mismo, rápido.
QUEST_LV_0200_20150317_000979	Los monstruos de otros bosques también son un problema además de las abejas. {nl}Estoy seguro de que se alimentan de miel.
QUEST_LV_0200_20150317_000980	Oh, ¿qué tal esto? {nl}Engañaremos a los monstruos con colmenas vacías. {nl}Si no hay miel, ¿por qué se molestarían los monstruos en atacar el apiario?
QUEST_LV_0200_20150317_000981	¿Cuándo fue? Creo que fue más o menos al mismo tiempo que las abejas se convirtieron en monstruos. {nl}Una enorme bandada de monstruos entró en nuestra aldea. Nunca había visto tantos monstruos. {nl}
QUEST_LV_0200_20150317_000982	Al principio, solo se reunían alrededor de Tierras Agrícolas Ondulantes y Bosques de Luz Primaveral. {nl}Pero no pasó mucho tiempo antes de que se mudaran aquí. {nl}Estoy seguro de que buscan la miel.
QUEST_LV_0200_20150317_000983	Los monstruos que huelen dulce deben tener colmenas vacías. {nl}Diosa Austeja, necesitaremos pedirle prestada algo de su ayuda aquí.
QUEST_LV_0200_20150317_000984	¡Lo conseguiste! {nl}Espero que esto sea suficiente para engañarlos.
QUEST_LV_0200_20150317_000985	Por cierto, me preocupa la cervecería del Sr. Dorjen. {nl}Debe estar furioso después de ver arruinado el trabajo de toda su vida por unos monstruos.{nl}
QUEST_LV_0200_20150317_000986	Creo que ha estado planeando quemar todo el bosque..{nl}. Y no nos escucha. ¿Puedes detenerlo?
QUEST_LV_0200_20150317_000987	Esparció barriles de petróleo cerca de la cervecería Micolas. Debes deshacerte de ellos primero. {nl}Y sobre el Sr. Dorjen... Por favor, ayúdenlo.
QUEST_LV_0200_20150317_000988	Cervecero Dorjen
QUEST_LV_0200_20150317_000989	¿Qué podría querer el Revelador de mí?{nl}
QUEST_LV_0200_20150317_000990	¿Hmm? ¿No son estos mis tapones de corcho? ¿Acabas de arruinar mi plan?{nl}{nl}
QUEST_LV_0200_20150317_000991	Ni se te ocurra pensar en detenerme{nl}. ¡Voy a hacerlos volar por los aires, aunque me cueste mi cervecería! Ya ni siquiera puedo confiar en los Reveladores.{nl}
QUEST_LV_0200_20150317_000992	Los monstruos arruinaron el banco de carne y la cervecería. {nl}Así que José fue a Klaipeda a buscar al Revelador que pudiera ayudarnos. {nl}{NP}Pensé que el problema se resolvería, pero adivina qué pasó. {nl}Empezaron a desaparecer uno por uno. Se echaron atrás. Esos cobardes.
QUEST_LV_0200_20150317_000993	¿Calmarme? ¿Acaso parezco capaz de calmarme? {nl}Vale. Tal vez pueda calmarme si consigues mi hidromiel especial del Almacén de Vino de Miel. {nl}Eso si puedes conseguirla.
QUEST_LV_0200_20150317_000994	Apuesto a que no podrás conseguirlo. {nl}Solo ten en cuenta que si fracasas, quemaré mi taller.
QUEST_LV_0200_20150317_000995	¿Qué demonios...? ¿De verdad conseguiste eso? {nl}Pensé que te rendirías por culpa de los monstruos... Eres realmente extraordinario.
QUEST_LV_0200_20150317_000996	De acuerdo. Ganaste. No quemaré mi taller como dije. {nl}Pero sigo cabreado. Todos esos años de trabajo... por culpa de esos monstruos...{nl}
QUEST_LV_0200_20150317_000997	Muchas gracias. {nl}Me sentiré mucho mejor si haces eso.
QUEST_LV_0200_20150317_000998	No volveré a pensar en quemar el bosque. {nl}Estoy seguro de que una persona con habilidades como las tuyas puede salvar nuestra aldea.
QUEST_LV_0200_20150317_000999	Ya basta{nl}. Vaya, Joseph sí que encontró un gran talento, aunque perdimos el colmenar y la cervecería.{nl}
QUEST_LV_0200_20150317_001000	Supongo que puedo confiar en ti, a diferencia de otros Reveladores. {nl}Si no te importa, ¿puedes ir a ver a Maras en Three Brooks Wood?
QUEST_LV_0200_20150317_001001	Comprar
QUEST_LV_0200_20150317_001002	Seguí a Darren hasta aquí porque estaba preocupado por él, pero ¿qué puedo hacer ahora? {nl}Hay tantos monstruos que me preocupa si podré regresar.
QUEST_LV_0200_20150317_001003	Todos los monstruos de aquí parecen estar poseídos por algo, da miedo{nl}. Ahora que lo pienso, todos parecían tener nuestra miel pegada...
QUEST_LV_0200_20150317_001004	Gracias{nl}. Ahora, ¿cómo regreso desde aquí...? ¿No es irónico que las mismas abejas que nos deben tanto se hayan convertido ahora en monstruos?
QUEST_LV_0200_20150317_001005	Cleopas
QUEST_LV_0200_20150317_001006	No puedo más. ¿Conoces a Mikolas? {nl}Oh, no lo sabrías. Es un chico al que adoro. {nl}
QUEST_LV_0200_20150317_001007	Empezó a enfadarse conmigo hace un tiempo y ahora ni siquiera me mira{nl}. No tengo ni idea de por qué. Debería saber la razón al menos para disculparme o algo así.
QUEST_LV_0200_20150317_001008	Oh, ese es un consejo muy dulce. {nl}No se enfadaría con alguien a quien ve por primera vez, ¿verdad?
QUEST_LV_0200_20150317_001009	¿Por qué crees que está enojado? ¿Puedes adivinar por qué?{nl}
QUEST_LV_0200_20150317_001010	Nicolás
QUEST_LV_0200_20150317_001011	Oh, Cleopas... ¡Qué vergüenza que pida ayuda a otra persona! {nl}¿Tomó prestada mi máquina de hacer cerveza, la vendió en algún sitio y ahora actúa como si no lo supiera?
QUEST_LV_0200_20150317_001012	¿Cómo pudo hacerme eso cuando yo fui tan buena con él? {nl}Incluso mintió al respecto. Dijo que lo había dejado frente a mi taller, pero nunca lo recibí.
QUEST_LV_0200_20150317_001013	¿Mikolas aún no está listo?
QUEST_LV_0200_20150317_001014	¿Cómo pudo hacerme esto?{nl}Mikolas...
QUEST_LV_0200_20150317_001015	¿Qué? Eso no tiene sentido{nl}. De verdad lo dejé en el lugar de trabajo de mi hermano.{nl}
QUEST_LV_0200_20150317_001016	Ah, probablemente... puede que lo haya hecho Elite Chukaruka.{nl}Lo vi lamiendo el dispositivo de preparación. {nl}¿Puedo preguntar una vez más? ¿Qué piensas?
QUEST_LV_0200_20150317_001017	¡Muchas gracias!{nl}Vi un área de descanso Elite Chukaruka Dvikcoji.{nl}Si por casualidad encuentras el dispositivo para preparar cerveza, por favor avísale a Mikolas.
QUEST_LV_0200_20150317_001018	Espero que el Elite Chukaruka se lo haya llevado.{nl}Si no... no quiero ver su cara de decepción.
QUEST_LV_0200_20150317_001019	Oh, ¿no es ese mi dispositivo para preparar cerveza? ¿Dónde lo conseguiste?{nl}
QUEST_LV_0200_20150317_001020	Dios mío{nl}. Te debo mucho{nl}. Y mi Cleopas... No puedo levantar la cara.
QUEST_LV_0200_20150317_001021	Tengo un favor que pedirte.{nl}Por favor, consigue un poco de jalea real y dásela a Cleopas.{nl}A Cleopas le gusta mucho.
QUEST_LV_0200_20150317_001022	¿Nosotras? Somos mejores amigas que crecimos en el mismo pueblo.{nl}{nl}
QUEST_LV_0200_20150317_001023	Por cierto, ¿por qué preguntas?
QUEST_LV_0200_20150317_001024	Ahah, muchas gracias.{nl}Podrás obtener jaleas reales de los monstruos cercanos.
QUEST_LV_0200_20150317_001025	Si no hubieras sido por ti, nunca nos habríamos vuelto a acercar.
QUEST_LV_0200_20150317_001026	¿Eh? ¿No es esto jalea real?{nl}Mikolas... Es tan afortunado. Pude deshacerme del malentendido gracias a ti.{nl}Que la Austeja te bendiga.
QUEST_LV_0200_20150317_001027	Maras
QUEST_LV_0200_20150317_001028	¿Eras tú a quien buscaba José? No me importa si no lo eres{nl}. Si no me ayudas, serás igual que aquellos Reveladores que huyeron.{nl}{nl}
QUEST_LV_0200_20150317_001029	Después de todo, he depositado toda mi fe en los sacerdotes, pero ya no puedo más{nl}. Por eso quiero contratar a alguien tan hábil como tú{nl}. Te pagaré bien.
QUEST_LV_0200_20150317_001030	No sé qué están haciendo los sacerdotes, porque cualquiera sabría que los monstruos van tras la miel.
QUEST_LV_0200_20150317_001031	Hice una solicitud a Klaipeda, pero no han respondido porque carecen de personal{nl}. Y no es fácil contratar mercenarios en esta zona.{nl}
QUEST_LV_0200_20150317_001032	Por lo tanto, los únicos con los que puedo contar son los Reveladores{nl}. ¿Buscas una diosa? Una vez tuvimos una diosa en nuestro pueblo.
QUEST_LV_0200_20150317_001033	Busque con atención colmenas intactas.{nl}Con suerte, podrá obtener algunas colmenas en buen estado.
QUEST_LV_0200_20150317_001034	Oh, este es bastante grande. {nl}Buen trabajo.
QUEST_LV_0200_20150317_001035	Ahora, ve a la Granja Vulvini.{nl}Si pudiéramos demostrar que los monstruos van tras la miel, los sacerdotes dejarían de pensar solo en sus altares.{nl}
QUEST_LV_0200_20150317_001036	Hay muchos altares por aquí{nl}. Ya los conoces, ¿verdad? Todos fueron creados para alabar a la diosa Austeja.
QUEST_LV_0200_20150317_001037	Los discípulos solo se concentran en los altares, así que no les importa si morimos de hambre o no{nl}. Creen que todo se solucionará si rezan mucho{nl}. Por eso decidimos tomar medidas.
